lib_size,without_optimization_query,with_optimization_query,without_optimization_overhead,with_optimization_overhead
100,13.0464,22.411,37.9135,61.234
200,21.2716,14.4104,37.9135,61.234
300,28.036,8.08227,37.9135,61.234
400,35.5288,9.0638,37.9135,61.234
500,41.7841,5.3914,37.9135,61.234
600,47.9901,4.6798,37.9135,61.234
700,54.7829,4.1482,37.9135,61.234
800,63.5451,3.6375,37.9135,61.234
900,71.2537,4.3109,37.9135,61.234
1000,77.2249,3.8884,37.9135,61.234
1100,84.1421,2.7821,37.9135,61.234
1200,90.9918,2.6175,37.9135,61.234
1300,96.9578,2.4414,37.9135,61.234
1400,102.471,2.4584,37.9135,61.234
1500,109.952,2.6369,37.9135,61.234
1600,117.227,2.1498,37.9135,61.234
1700,126.3295,2.3214,37.9135,61.234
1800,129.044,2.6879,37.9135,61.234
1900,136.406,3.1953,37.9135,61.234
2000,142.133,1.9678,37.9135,61.234
